iter	Passed	Remaining
0	0	97
1	1	79
2	2	72
3	2	65
4	3	63
5	3	61
6	4	61
7	5	59
8	5	59
9	6	58
10	7	57
11	7	55
12	8	54
13	8	53
14	9	53
15	9	52
16	10	51
17	11	50
18	11	49
19	12	49
20	12	48
21	13	47
22	14	47
23	14	46
24	15	45
25	15	44
26	16	44
27	16	43
28	17	42
29	17	41
30	18	41
31	19	41
32	20	40
33	20	40
34	21	39
35	21	39
36	22	38
37	23	37
38	23	37
39	24	36
40	24	35
41	25	34
42	25	33
43	26	33
44	26	32
45	27	32
46	27	31
47	28	31
48	29	30
49	29	29
50	30	28
51	30	28
52	31	27
53	31	26
54	32	26
55	32	25
56	33	25
57	34	24
58	34	24
59	35	23
60	35	22
61	36	22
62	36	21
63	37	21
64	37	20
65	38	19
66	39	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	49	5
90	50	4
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
